id_unico,nome,cep,descricao,funcao_social,data_inicial_prevista,data_final_prevista,data_cadastro,especie,natureza,situacao,uf,is_modelada_por_bim,data_situacao,executor_nome,eixo_descricao,tipo_descricao,subtipo_descricao,origem_recurso,valor_total_previsto
50379.53-54,DL - 304/2024 - Contratação de instituição para execução de serviços técnico-especializados para realização de atualizações no Método de Dimensionamento de Pavimentos Rígidos do DNI,,Contratação de instituição para execução de serviços técnico-especializados para realização de atualizações no Método de Dimensionamento de Pavimentos Rígidos do DNI,Ampliação da capacidade de trafego visando a melhoria da segurança do usuário,2024-12-20,2027-12-05,2024-12-20,Construção,Outros,Cadastrada,DF,False,2024-12-20,DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES,Econômico,Rodovia,Acessos Terrestres,Federal,44463443.0
42724.53-27,Escola Classe Crixá São Sebastião,,"Construção de Escola em Tempo Integral, Escola Classe Crixá Bairro: São Sebastião/Brasília -DF – Projeto Próprio.","A construção da nova escola beneficiará 977 estudantes, do 1º ao 5º ano do Ensino Fundamental, em turno integral, na região administrativa de São Sebastião, Brasília-DF.. Atualmente, não há unidades de ensino suficientes para atender, novo bairro criado em São Sebastião pelos programas habitacionais do governo, como o Morar Bem e o Minha Casa, Minha Vida. Crianças em idade escolar que precisam ser transportadas para outras regiões para estudar. A expansão da rede é essencial para garantir o acesso e a permanência dos estudantes na Rede Pública, reiterando o compromisso do DF com uma educação de qualidade. Fonte de dado: Sistema Interno da SEEDF (Argis).. Espera-se atender aos programas Escola em Tempo Integral - Lei nº 14.640/2023 e Compromisso Nacional Criança Alfabetizada – Decreto nº 11.556/2023, reduzindo a vulnerabilidade social e alcançando as metas estabelecidas no Plano Nacional de Educação (PNE) e no Plano Distrital de Educação (PDE) pelo Distrito Federal.",2024-09-02,2028-09-02,2024-08-30,Construção,Obra,Cancelada,DF,False,2025-09-05,SECRETARIA DE ESTADO DE EDUCACAO DO DISTRITO FEDERAL,Social,Educação,Educação,Federal,12319519.51
19970.53-78,Reajuste do Contrato 45/2021 - Contrução do Centro de Formação e Aperfeiçoamento de Praças - CEFAP do CBMDF,70.602-600,"Reajuste do Contrato 45/2021 - Construção do Centro de Formação e Aperfeiçoamento de Praças - CEFAP, situado no Setor Policial Sul lote 03, Asa Sul, Brasília-DF.",Contribuir para a melhor formação dos bombeiros militares que prestarão serviços à sociedade do DF.,2021-09-14,2024-08-28,2023-02-06,Construção,Obra,Cadastrada,DF,False,2023-02-06,CORPO DE BOMBEIROS MILITAR DO DISTRITO FEDERAL,Administrativo,Segurança Pública,Obras em Imóveis de Uso Público,Federal,1177429.91
24797.53-15,Implantação de Passarelas nas Estradas Parque do DF,,Implantação de passarelas de estrutura mista nas rodovias Estradas Parques no DF.,"Pedestres, no geral, demanda das ocupações lindeiras à faixa de domínio das rodovia, formando um grupo heterogêneo no sistema viário, dos quais, possuem idade e sexo distintos, além de englobarem pessoas com deficiência física e, em alguns casos, ciclistas... Os acidentes de trânsito são uma das principais causas de mortes no Brasil, sendo que o atropelamento é considerado o mais grave. Porém estes acidentes em rodovias localizadas em trechos urbanos têm aumentado. A implantação das passarelas possibilitará travessia segura, sobre as rodovias, em regiões de acentuado adensamento urbano.. Redução de acidentes por atropelamento, assim como promoção de local adequado para os usuários do sistema viário.",2023-08-30,2028-08-30,2023-08-28,Construção,Obra,Cadastrada,DF,False,2023-08-28,DEPARTAMENTO DE ESTRADAS DE RODAGEM DO DISTRITO FEDERAL,Econômico,Infraestrutura Urbana e Mobilidade,Obra de Arte Especial,Federal,10800000.0
24822.53-70,"obra de construção da  Cabine de Medição, localizado no Setor Central do Campus Universitário Darcy Ribeiro, da Universidade de Brasília, em Brasília/DF",,"obra de construção da  Cabine de Medição, localizado no Setor Central do Campus Universitário Darcy Ribeiro, da Universidade de Brasília, em Brasília/DF","A demanda de carga elétrica do Campus Darcy Ribeiro aumenta progressivamente, em razão da instalação de novos
equipamentos de ar-condicionado, equipamentos para laboratórios, entre outros inerentes ao crescimento da Universidade. A
principal consequência disso é a sobrecarga nos cabeamentos do fornecimento de energia, que comprometem a qualidade da
infraestrutura elétrica. Nos meses de novembro e dezembro de 2019 atingiram valores de demanda de energia próximos ao pico
máximo já registrado, conforme relatado no documento SEI N. 5187620.
A Norma Técnica de Distribuição - NTD Nº 6.05, publicada pela CEB-D, trata do fornecimento de energia elétrica em tensão
primária de distribuição. Essa normativa define, entre outros aspectos, as características técnicas necessárias para o correto
funcionamento de subestações de entrada de energia, segundo os padrões técnicos da concessionária.
As subestações devem ter características de construção definitiva, ser de materiais incombustíveis e de estabilidade adequada,
oferecendo condições de bem-estar e segurança aos operadores, devem atender a requisitos de segurança e serem devidamente
protegidas contra danos acidentais decorrentes do meio ambiente.
Além disso, a disposição dos equipamentos deve oferecer condições adequadas de operação, segurança e facilidade de
substituição do todo ou parte, facilitados por corredores que obedeçam às dimensões recomendadas para viabilizar a correta
operação e manutenção dos sistemas, garantindo que o afastamento entre partes vivas também obedeça aos critérios técnicos
estabelecidos na NTD.
",2023-09-14,2024-03-14,2023-08-29,Construção,Obra,Cadastrada,DF,False,2023-08-29,FUNDACAO UNIVERSIDADE DE BRASILIA,Econômico,Energia,"Empreendimento de Transmissão de Energia Elétrica, Subestação",Federal,928139.7
4541.53-44,202111-22-Ronald 1,70067-901,2021122-Ronald - Descrição do Projeto,2021122-Ronald - Descrição Funç]ap Social,2021-12-10,2021-12-10,2021-11-17,Recuperação,Projeto de Investimento em Infraestrutura,Cadastrada,DF,,2021-11-17,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,Social,Desenvolvimento,Saneamento,Federal,300000002.0
4545.53-03,202111-22-Ronald 1,70067-901,2021122-Ronald - Descrição do Projeto,2021122-Ronald - Descrição Funç]ap Social,2021-12-10,2021-12-10,2021-11-17,Reforma,Projeto de Investimento em Infraestrutura,Cadastrada,DF,,2021-11-17,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,Social,Desenvolvimento,Saneamento,Federal,30000006.0
4546.53-60,202111-22-Ronald 1,70067-902,2021122-Ronald - Descrição do Projeto,2021122-Ronald - Descrição Funç]ap Social,2021-12-10,2021-12-10,2021-11-17,Reforma,Projeto de Investimento em Infraestrutura,Cadastrada,DF,,2021-11-17,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,Social,Desenvolvimento,Saneamento,Federal,30000007.0
21324.53-75,Reforma Viveiro Agroecologia,73.380-900,"Reforma/reestruturação do prédio de aulas práticas do curso de agroecologia, onde funciona um viveiro de plantas e incubatório de sementes. A edificação está com telhado danificado e estruturas de madeira danificados",Escolar,2023-08-01,2023-12-31,2023-04-14,Recuperação,Obra,Cadastrada,DF,False,2023-04-14,INSTITUTO FED. ED. CIENCIA E TEC. DE BRASILIA,Social,Educação,Educação,Federal,700000.0
21327.53-34,Reforma Agroecologia,73.380-900,"Reforma do prédio de salas de aulas e laboratórios do curso de agroecologia do Campus Planaltina, incluindo um reforço na fundação, reforma do telhado, reforma e adequação dos banheiros, adequação dos acessos a edificação, entre outros.",atender a comunidade acadêmica do Campus Planaltina principalmente no curso de agroecologia,2023-09-01,2024-03-31,2023-04-14,Reforma,Obra,Cadastrada,DF,False,2023-04-14,INSTITUTO FED. ED. CIENCIA E TEC. DE BRASILIA,Social,Educação,Educação,Federal,3300000.0
